name,lat,long
Manly Vale - Allambie Heights,151.25123907100183,-33.77359615859866
Terrey Hills - Duffys Forest,151.21216574736266,-33.669624655980726
Belrose,151.21101518281344,-33.72210682853307
Collaroy - Collaroy Plateau,151.297231950227,-33.73601763743131
Dee Why (South) - North Curl Curl,151.29184651068084,-33.76065819189148
Dee Why - North,151.28742169128097,-33.75093911184796
Frenchs Forest - Oxford Falls,151.22557974824647,-33.740610373595146
Narrabeen - Wheeler Heights,151.28916625249627,-33.72024361070638
Camden - Ellis Lane,150.68213124109255,-34.065432467176194
Currans Hill,150.76697278807424,-34.040733607584386
Elderslie - Narellan,150.71877305064643,-34.043336741904255
Harrington Park,150.7400735466162,-34.02523927272101
Mount Annan,150.75824403609553,-34.06371689269505
Spring Farm,150.7250401529793,-34.0707351769883
Bradbury - Wedderburn,150.8220637640734,-34.126833295763376
Campbelltown - Woodbine,150.80832732046946,-34.06486941217206
Claymore - Eagle Vale - Raby,150.806505715126,-34.02459220190806
Holsworthy Military Area,150.90014940149152,-34.100971852206555
Leumeah - Minto Heights,150.86083768219336,-34.053925854437175
Minto - St Andrews,150.844561215746,-34.02805540384809
Rosemeadow - Glen Alpine,150.77447072564695,-34.120368665639674
